gauge_id,gauge_name,river,longitude,latitude,area
2530,Ruta,Radoljna,15.4236486905,46.5587084502,74.48
2540,Šumik,Lobnica,15.4508171943,46.4814285578,17.01
2550,Smolnik,Lobnica,15.493174644,46.5273228533,33.23
2560,Ruše,Lobnica,15.4965017197,46.5347766578,42.7
2570,Ptuj,Grajena,15.8997876669,46.4246097957,18.23
2580,Rogoznica,Rogoznica,15.8775006654,46.4223535138,37.28
2600,Zreče,Dravinja,15.3881997329,46.3801700313,42.75
2610,Draža vas,Dravinja,15.4961236284,46.3210760671,170.13
2620,Loče,Dravinja,15.4985465712,46.3018544331,175.67
2630,Poljčane,Dravinja,15.5820807868,46.3069035953,240.98
2640,Makole,Dravinja,15.6752945177,46.3195824009,303.21
2650,Videm I,Dravinja,15.9067682392,46.3668769893,767.08
2652,Videm,Dravinja,15.9078764831,46.3686498248,767.34
2660,Hudi Vrh,Oplotnica,15.3847708714,46.4620543566,9.75
2667,Perovec,Oplotnica,15.4925886965,46.339627521,78.57
2670,Draža vas,Oplotnica,15.4978568325,46.3260175169,85.81
2680,Laže,Ličenca,15.5590724412,46.3043189553,19.68
2690,V Zidu,Ložnica,15.5561821541,46.3778477601,30.94
2693,Spodnja Ložnica I,Ložnica,15.6556103855,46.3373513411,99.86
2700,Močnik,Bistrica,15.5006298843,46.4447797419,13.4
2710,Slovenska Bistrica,Bistrica,15.5789796328,46.3944709997,32.42
2715,Slovenska Bistrica I,Bistrica,15.5775501135,46.3945682097,32.67
2719,Podlehnik I,Rogatnica,15.8833414262,46.3327774356,57.26
2720,Podlehnik,Rogatnica,15.8821775018,46.3331013573,57.28
2730,Zgornja Polskava,Polskava,15.6086713937,46.4331882619,35.77
2740,Medvedce,Polskava,15.6895891881,46.3688428501,94.6
2750,Tržec I,Polskava,15.8717308924,46.362380464,188.68
2754,Tržec,Polskava,15.8829732012,46.3639678562,189.16
2760,Brinje,Devina,15.607775869,46.3994504687,20.11
2770,Hoče,Hočki potok,15.6282234711,46.4924689627,8.03
2780,Slivnica,Polanski potok,15.6577632987,46.4788060337,5.25
2790,Fram,Framski potok,15.6376859422,46.4548952397,13.025
2800,Spodnji Breg,Studenčnica,15.8754387775,46.4073425825,
2810,Formin,Zvirenčina,16.0457827359,46.4041120177,
2820,Jedlovnik,Pesnica,15.5852948052,46.6440392868,21.57
2830,Ranca,Pesnica,15.6863777866,46.5997486962,84.27
2840,Šmarjeta,Pesnica,15.7319403444,46.5806609497,109.5
2850,Pernica,Pesnica,15.7414349304,46.5783503624,136.7
2860,Mučno,Pristavsko jezero,,,
2870,Pristava,Pesnica,15.7742086002,46.5614873353,165.5
2880,Gočova,Pesnica,15.8735136923,46.5570920142,281.77
2900,Zamušani I,Pesnica,16.0388897036,46.4144326518,479.76
2902,Zamušani,Pesnica,16.0401117306,46.4137016988,477.8
2910,Lenart,Globovnica,15.8258005227,46.574353291,25.81
2920,Lenart,Velka,15.8442686321,46.5788973313,43.86
2930,Brengova,Drvanja,15.9073141992,46.5565499734,38.9
2940,Podgorci,Cvetkovski potok,16.0629839075,46.4258187165,11.23
2950,Senešci,Sejanski potok,16.0891699464,46.4273719166,41.42
2960,Središče ob Dravi,Trnava,16.2778664946,46.3943754786,44.77
3010,Podkoren,Sava Dolinka,13.7577733626,46.4914522944,30.22
